
[2022-10-31T08:05:46.376] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:06:06.444] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:06:29.783] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:06:51.175] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:10:10.016] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/categoria/, Metodo GET
[2022-10-31T08:11:29.667] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/productos/categoria/asd, Metodo GET
[2022-10-31T08:11:53.012] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/productos/categoria/Con%20flores, Metodo GET
[2022-10-31T08:12:08.051] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/productos/categoria/Con%20flores, Metodo GET
[2022-10-31T08:12:40.206] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/productos/categoria/Con%20flores, Metodo GET
[2022-10-31T08:12:50.126] [WARN] warnArchive - Estado: 404, Ruta consultada: /apiRestful/productos/categoria/Con%20flores, Metodo GET
[2022-10-31T08:13:03.902] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:13:06.581] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:13:08.934] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:13:12.742] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:13:16.810] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:17:53.102] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:17:54.317] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:17:55.883] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:29:29.609] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:29:44.055] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:29:48.316] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:30:56.312] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:36:26.429] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:54:46.728] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:54:48.640] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T08:54:50.449] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:54:25.976] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:54:27.098] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
